x,y
834.0,315
928.0,1025
834.0,316
928.0,1024
832.5,316
929.5,1017
828.0,316
936.0,1013
827.5,317
938.0,1012
828.0,316
941.5,1009
825.5,316
944.0,1006
824.0,315
944.5,1006
824.0,315
945.5,1007
823.0,316
947.0,1009
821.5,317
947.5,1010
820.5,317
947.0,1012
820.5,317
946.0,1013
819.0,317
944.5,1012
818.0,318
942.0,1012
817.0,318
942.5,1012
816.0,318
944.0,1011
815.5,318
945.0,1009
816.5,317
935.5,1007
818.5,316
929.5,1007
819.5,317
910.5,1005
823.5,315
881.0,1002
829.5,317
875.5,1001
832.5,317
864.0,995
838.5,319
847.0,998
844.0,322
838.5,999
847.5,322
827.0,997
852.0,323
818.0,999
854.0,323
814.5,997
856.0,324
804.0,997
859.0,325
790.5,994
862.5,325
782.5,994
864.0,326
769.5,993
868.0,326
757.0,993
869.0,328
750.5,996
871.0,328
736.5,1000
874.5,326
717.5,1009
879.5,327
711.5,1010
880.5,328
693.5,1016
882.0,329
680.5,1015
885.5,330
664.5,1014
887.0,330
667.0,1014
889.5,331
660.0,1012
892.0,331
658.0,1013
895.0,331
646.0,1014
896.5,331
631.5,1014
900.0,337
629.5,1013
901.5,340
617.5,1009
902.0,337
612.5,999
903.0,336
610.0,995
902.5,335
613.5,987
903.0,333
598.0,992
903.5,335
584.5,983
904.5,335
586.5,985
907.0,336
561.0,986
909.0,337
910.0,338
557.0,992
552.0,998
911.5,339
542.0,1001
912.5,339
536.0,1000
912.0,339
526.0,1001
914.0,339
519.0,1001
915.0,340
519.0,1005
916.0,340
524.5,1013
917.0,341
526.5,1014
922.0,340
527.5,1013
926.0,341
525.5,1014
934.5,341
522.0,1013
940.5,342
518.5,1012
943.0,343
515.5,1011
948.0,344
515.0,1009
953.5,346
514.5,1009
957.0,345
515.0,1007
959.5,346
520.5,1003
967.0,346
524.0,1000
969.5,347
537.0,997
972.0,347
552.0,992
973.0,346
559.5,990
973.0,345
573.5,986
976.0,345
588.0,983
982.0,345
592.0,981
982.0,346
599.5,975
988.0,346
609.0,975
991.0,347
615.5,973
991.5,347
633.0,977
995.0,348
651.5,977
1000.0,349
657.0,977
1000.0,349
665.0,979
1004.5,350
667.5,979
1008.5,353
667.5,978
1009.0,353
669.0,978
1011.0,353
673.0,978
1014.0,353
676.5,977
1015.5,353
682.0,976
1019.0,355
686.5,976
1016.5,353
688.0,976
1016.0,354
692.5,977
1014.5,352
694.0,979
1014.0,353
696.0,981
1015.0,353
699.0,984
1015.0,354
699.0,985
1013.0,354
699.0,985
1017.5,353
700.5,986
1022.0,354
699.5,985
1026.0,352
698.5,986
1026.5,354
697.0,983
1027.5,353
692.5,980
1031.5,352
688.5,979
1033.0,351
675.0,978
1033.5,353
658.0,978
1034.0,352
651.0,978
1035.0,353
639.5,975
1033.0,352
1032.5,352
628.0,972
623.0,972
1031.5,352
611.5,968
1030.5,352
601.5,964
1031.0,353
598.0,963
1029.5,352
590.5,963
1025.0,352
583.0,960
1020.5,352
580.5,960
1017.5,353
576.0,960
1011.5,351
571.5,960
1005.5,351
571.5,960
1003.0,351
567.0,960
998.5,350
565.0,960
992.5,350
991.0,350
563.0,960
989.0,350
561.5,960
989.0,350
554.5,960
988.5,350
553.5,960
557.0,961
987.0,350
554.5,961
985.5,349
554.5,961
984.0,348
555.5,955
981.5,347
554.5,950
979.5,346
553.0,949
979.0,345
560.0,945
977.0,345
974.5,346
567.0,943
570.5,942
973.0,344
573.0,941
969.5,343
578.5,943
967.0,344
580.0,942
966.0,346
579.5,937
964.5,345
578.5,927
963.5,345
579.0,932
963.5,346
576.0,934
963.0,346
962.5,346
568.5,934
565.5,931
963.0,346
564.0,926
963.5,345
563.0,927
965.0,345
562.5,927
966.5,345
562.0,927
970.5,346
567.0,928
980.0,346
567.5,928
983.5,345
570.5,930
994.5,346
575.0,929
996.5,346
578.0,930
998.5,347
586.0,926
1011.5,346
595.5,925
1013.5,345
599.5,924
1018.0,347
611.5,925
1031.5,349
623.5,928
1041.5,351
628.5,930
1045.5,350
641.5,933
1051.5,349
649.0,937
